Annotation/Divergence	AB425_SB139.M (1348270.0 total)	AB426_SB139.M (919032.0 total)	AB427_SB139.M (1076940.0 total)	AB428_SB139.M (1045155.0 total)	AB429_SB139.M (1152020.0 total)	AB430_SB139.M (1353472.0 total)	AB431_SB139.M (984314.0 total)	AB432_SB139.M (1095253.0 total)
Pwwp2b|AI594893|D7Ertd517e|D930023J19Rik|Pwwp2|-|7 F4|7 84.39 cM|protein-coding	21	12	7	7	12	7	6	11
Pyroxd1|-|-|6|6 G2|protein-coding	22	9	8	8	9	16	5	11
Alg1|HMAT1|HMT1|-|16|16 A1|protein-coding	65	40	66	60	64	65	50	53
Il1f8|2310043N20Rik|Il36b|-|2 A3|2 16.21 cM|protein-coding	0	0	0	0	0	0	0	0
Gm11238|OTTMUSG00000000282|-|4 C3|4 36.06 cM|protein-coding	0	0	0	0	0	0	0	0
Mtmr1|AW049210|-|X|X A7.3|protein-coding	16	6	7	6	8	21	12	15
Tjap1|0610041D19Rik|AI415281|AW121008|Pilt|Tjp4|-|17|17 C|protein-coding	36	14	24	21	29	44	23	26
Mfsd14a|Hiat1|-|3|3 G1|protein-coding	58	40	38	36	43	46	47	49
Adam22|2900022I03Rik|AI854032|MDC2|-|5 A1|5 3.39 cM|protein-coding	1	2	1	1	2	3	0	2
Cass4|F730031O20Rik|-|2|2 H3|protein-coding	0	0	0	0	0	0	0	0
Ldlr|Hlb301|-|9 A3|9 7.87 cM|protein-coding	101	78	58	73	92	116	66	72
Ccdc8|ENSMUSG00000041117|-|7|7 A2|protein-coding	0	0	0	0	0	0	0	0
Zfp386|Kzf1|mKIAA4205|-|12|12 F2|protein-coding	38	31	19	16	22	33	28	26
Mrc1|AW259686|CD206|MR|-|2 A2|2 10.46 cM|protein-coding	0	2	1	0	0	0	0	0
Tfe3|F830016E06Rik|Tcfe3|Tfe-3|bHLHe33|-|X A1.1|X 3.5 cM|protein-coding	61	45	33	34	40	57	41	34
Tmco3|B230339H12Rik|C87304|-|8|8 A1.1|protein-coding	35	29	30	44	27	33	30	25
Grm1|4930455H15Rik|ENSMUSG00000075319|Gm10828|Gprc1a|mGluR1|nmf373|rcw|wobl|-|10|10 A1|protein-coding	0	0	0	0	0	0	0	1
Olfr470|MOR204-22|-|7|7 E3|protein-coding	0	0	0	0	0	0	0	0
Sema3a|Hsema-I|SEMA1|SemD|Semad|coll-1|-|5|5 A1|protein-coding	1	0	0	0	0	0	0	0
