"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"Pwwp2b"	10.0883833708664	0.0809113644393947	0.186818982557714	0.203986468406696	0.999629461123645
"Pyroxd1"	10.4112578262721	0.0943168384712656	0.194110048814882	0.164171893650564	0.999629461123645
"Alg1"	56.7119657971955	-0.0674871661015498	0.137763246498963	0.45445260560516	0.999629461123645
"Mtmr1"	10.8371114923856	0.0188149803570809	0.163775556388876	0.754130414957424	0.999629461123645
"Tjap1"	25.9466436533469	0.0530873711900363	0.156271361393282	0.51107828802472	0.999629461123645
"Mfsd14a"	43.9495667817375	-0.0128383638147535	0.137430381451192	0.878858038895645	0.999629461123645
"Adam22"	1.45653751361046	0.0192664696356808	0.174141128532428	0.461946949048981	0.999629461123645
"Ldlr"	79.9473446553404	0.237313009184393	0.167476795532859	0.0369874392907113	0.635754356647
"Zfp386"	26.1989460747249	0.0897925811868395	0.171625784364064	0.286384176928638	0.999629461123645
"Tfe3"	42.1869181741337	0.154322550017314	0.183130340563139	0.132356903250184	0.999629461123645
"Tmco3"	31.3890061440385	-0.0719283838765102	0.158427225230383	0.395650850179108	0.999629461123645
"Med24"	26.0127415246833	-0.205752116933385	0.253654146872463	0.0626646168621417	0.785418798206076
"Mbtd1"	5.70887932197614	2.68974210131264e-05	0.16754358587395	0.99914096198581	0.999629461123645
"2310057M21Rik"	14.7553788216193	-0.0484398509810104	0.165997253498692	0.478262728318533	0.999629461123645
"Rbmx"	7.42280441477754	0.0509103993413963	0.17483796704887	0.359138823909388	0.999629461123645
"Zc4h2"	3.18148373578988	-0.00208550116238185	0.171261477900771	0.948297881952037	0.999629461123645
"Srrm2"	25.0886672605265	0.1014600808669	0.177369569608935	0.239475575745789	0.999629461123645
"Vps26a"	97.2452888694929	0.0618608775892645	0.121848506478689	0.487863523930727	0.999629461123645
"Ccrl2"	3.13626966363763	0.0685191643080034	0.190478557908501	0.073769269430434	0.843722982599733
"Rfc3"	14.2978285395392	-0.00285489162916712	0.158817736319691	0.964110289176236	0.999629461123645
"Nrros"	4.37424705643492	0.0656152825578944	0.18750070339488	0.117344373290715	0.977929913130362
"Rdh10"	30.2850041884032	0.115345184867674	0.184390565976418	0.197985058573152	0.999629461123645
"Rbm10"	18.0896239606261	0.0211846590257211	0.157002442352549	0.766500053880812	0.999629461123645
"Whrn"	8.54390042324617	-0.0212240265409443	0.16681064771597	0.693460349497841	0.999629461123645
"Necab2"	5.89878254103502	-0.105558182725249	0.213229473011646	0.0566906022506229	0.756810185160956
"Lonrf1"	5.51822443630038	0.0226108935558723	0.169455620284752	0.63510976880082	0.999629461123645
"Zfp512"	17.5418265383283	-0.012437088866401	0.155045150309648	0.861714412229991	0.999629461123645
"Tubb3"	4.83638907376345	1.16388066870647	1.26446730997505	0.00693338535994002	0.219658949484438
"Irf7"	83.947347173374	1.85787449812306	0.584006971240906	5.32838720936764e-05	0.00369485593061007
"Cbx5"	65.4510651952336	-0.0749144662105411	0.135188973267538	0.412131019106847	0.999629461123645
"Gm14005"	2.04892007705201	-0.0199019268408677	0.173706925776723	0.497430276056398	0.999629461123645
"Dtd1"	113.169635645982	-0.0428658354605778	0.116459080091659	0.62283993778027	0.999629461123645
"Sephs2"	16.5202739289353	-0.0105805805777581	0.155978332927874	0.879775205669012	0.999629461123645
"Pik3r3"	17.2228714688734	-0.0512475004385787	0.163664356861776	0.480306184003277	0.999629461123645
"Map2k4"	37.638246060579	-0.0364172309942678	0.14267356758631	0.666847426151478	0.999629461123645
"Msr1"	11.8375733792189	0.0452475724935867	0.167174899790526	0.488905218750981	0.999629461123645
"Chchd10"	2519.80492228607	-0.0931247009577439	0.0725725844034352	0.157020677483746	0.999629461123645
